quote,character,movie
"The way is shut. It was made by those who are dead , and the dead keep it. The     way is shut.  ",Legolas,The Return of the King
Brego!,Aragorn II Elessar,The Return of the King
I do not fear death!,Aragorn II Elessar,The Return of the King
"The scouts report Minas Tirith is surrounded. The lower level's in flames. Everywhere, legions of the enemy advance.  ",�omer,The Return of the King
"This task was appointed to you, Frodo of the Shire. If you do not find a     way, no one will.  ",Galadriel,The Return of the King
Time is against us. Make ready!,Th�oden,The Return of the King
"Take heart Merry. , It will soon be over ",�owyn,The Return of the King
"My lady. You are fair and brave and have much to live for    , and many who love you. I     know it is too late to turn aside. I know there is not much point now in     hoping. If I were a knight of Rohan capable of great deeds'but I'm not. I'm a Hobbit. And I know I can't save Middle Earth. I just want to help my friends; Frodo, Sam, Pippin. More than anything I wish I could see them again. ",Meriadoc Brandybuck,The Return of the King
Make haste. We ride through the night.,Th�oden,The Return of the King
Back to the gate! Hurry!,Gandalf,The Return of the King
To battle,�owyn,The Return of the King
"Well this is a thing unheard of. An elf will go underground, where a     dwarf dare not. Oh. Oh, I'd never hear the end of it.  ",Gimli,The Return of the King
Prepare to move out!,�omer,The Return of the King
All my friends have gone to battle. I would be ashamed to be left     behind.,Meriadoc Brandybuck,The Return of the King
It is a three-day gallop to Minas Tirith and none of my riders can bear     you as a burdon.,Th�oden,The Return of the King
I want to fight!,Meriadoc Brandybuck,The Return of the King
I will say no more.,Th�oden,The Return of the King
Ride with me!,�owyn,The Return of the King
My lady!,Meriadoc Brandybuck,The Return of the King
To battle,Meriadoc Brandybuck,The Return of the King
We must ride light and swift. It is a long road ahead and man and beast     must reach the end with the strength to fight.,Th�oden,The Return of the King
Ride! Ride now to Gondor.,Th�oden,The Return of the King
What is it? What do you see?,Gimli,The Return of the King
Little Hobbits do not belong in war Master Meriadoc.,Th�oden,The Return of the King
Where?,Gimli,The Return of the King
I see shapes of men and of horses.,Legolas,The Return of the King
Do not look down.,Aragorn II Elessar,The Return of the King
"Pale banners like shreds of cloud. , Spears rise     like winter thickets through a shroud of mist. The dead are following. They     have been summoned.  ",Legolas,The Return of the King
" The dead?     Summoned? I knew that! Huh. Huh. , Very good. Very good. , Legolas!  ",Gimli,The Return of the King
Who enters my domain?,The King of the Dead,The Return of the King
One who will have your allegiance.,Aragorn II Elessar,The Return of the King
You will suffer me!,Aragorn II Elessar,The Return of the King
The dead do not suffer the living to pass.,The King of the Dead,The Return of the King
The way is shut! It was made by those who are dead. And the dead keep     it. (The Ghostly army closes around them) The way is shut! Now you must die!,The King of the Dead,The Return of the King
"Form up, move out! Form up, move out!  ",�omer,The Return of the King
My lord!,MINOR_CHARACTER,The Return of the King
Hail to you sire!,MINOR_CHARACTER,The Return of the King
I bring 500 men from the Westfold my lord.,Grimbold,The Return of the King
"We have 300 more from Fenmarch, Theoden King.   ",MINOR_CHARACTER,The Return of the King
That blade was broken!,The King of the Dead,The Return of the King
"It has been remade. ,     Fight for us and regain your honour. What say you? ,What say you? ",Aragorn II Elessar,The Return of the King
None but the King of Gondor may command me!,The King of the Dead,The Return of the King
"I am Isildur's heir. Fight for me and I will hold your oaths fulfilled.    ,What say you?     ",Aragorn II Elessar,The Return of the King
"Make way for the King!  Make way, the King is here ",MINOR_CHARACTER,The Return of the King
I summon you to     fulfil your oath!,Aragorn II Elessar,The Return of the King
Ach! You waste your time Aragorn. They had no honour in life and they     have none now in death.,Gimli,The Return of the King
Legolas! Run!,Aragorn II Elessar,The Return of the King
We fight!,The King of the Dead,The Return of the King
"Open the gate, quick!  ",MINOR_CHARACTER,The Return of the King
Quick! Hurry!,Irolas,The Return of the King
Faramir! Say not that he has fallen.,Denethor I,The Return of the King
They were outnumbered! None survived.,Irolas,The Return of the King
Stand you traitors!,Gimli,The Return of the King
Out!,Aragorn II Elessar,The Return of the King
Where are the riders from Snowbourn?,Th�oden,The Return of the King
None have come my lord.,MINOR_CHARACTER,The Return of the King
"Six thousand spears, less than half of what I had hoped for. ",Th�oden,The Return of the King
"You have my word! Fight and I will release you from this living death!    , What say you?  ",Aragorn II Elessar,The Return of the King
Fear. The city is rank with it! Ha ha ha ha. Let us ease their pain.     Release the prisoners!,Gothmog (Lieutenant of Morgul),The Return of the King
The horses are restless and the men are quiet.,Legolas,The Return of the King
They grow nervous in the shadow of the mountain.,�omer,The Return of the King
That road there where does that lead?,Gimli,The Return of the King
" It is the road to the Dimholt, the door under the mountain.   ",Legolas,The Return of the King
